period,stateid,stateDescription,sectorid,sectorName,customers,customers-units
2024-06,NC,North Carolina,RES,residential,5079095,number of customers
2024-06,NC,North Carolina,OTH,other,,number of customers
2024-06,NC,North Carolina,IND,industrial,9165,number of customers
2024-06,NC,North Carolina,COM,commercial,746296,number of customers
2024-06,NC,North Carolina,ALL,all sectors,5834557,number of customers
2024-06,NY,New York,TRA,transportation,8,number of customers
2024-06,NY,New York,RES,residential,7409686,number of customers
2024-06,NY,New York,OTH,other,,number of customers
2024-06,NY,New York,IND,industrial,16459,number of customers
2024-06,NY,New York,COM,commercial,1160555,number of customers
2024-06,NY,New York,ALL,all sectors,8586708,number of customers
2024-06,NM,New Mexico,TRA,transportation,0,number of customers
2024-06,NM,New Mexico,RES,residential,917377,number of customers
2024-06,NM,New Mexico,OTH,other,,number of customers
2024-06,NM,New Mexico,IND,industrial,9680,number of customers
2024-06,NM,New Mexico,COM,commercial,146592,number of customers
2024-06,NM,New Mexico,ALL,all sectors,1073649,number of customers
2024-06,NJ,New Jersey,TRA,transportation,7,number of customers
2024-06,NJ,New Jersey,RES,residential,3737560,number of customers
2024-06,NJ,New Jersey,OTH,other,,number of customers
2024-06,NJ,New Jersey,IND,industrial,11243,number of customers
2024-06,NJ,New Jersey,COM,commercial,538436,number of customers
2024-06,NJ,New Jersey,ALL,all sectors,4287246,number of customers
2024-06,NH,New Hampshire,TRA,transportation,0,number of customers
2024-06,NH,New Hampshire,RES,residential,651663,number of customers
2024-06,NH,New Hampshire,OTH,other,,number of customers
2024-06,NH,New Hampshire,IND,industrial,6111,number of customers
2024-06,NH,New Hampshire,COM,commercial,108499,number of customers
2024-06,NH,New Hampshire,ALL,all sectors,766273,number of customers
2024-06,NV,Nevada,TRA,transportation,1,number of customers
2024-06,NV,Nevada,RES,residential,1309614,number of customers
2024-06,NV,Nevada,OTH,other,,number of customers
2024-06,NV,Nevada,IND,industrial,4938,number of customers
2024-06,NV,Nevada,COM,commercial,176849,number of customers
2024-06,NV,Nevada,ALL,all sectors,1491402,number of customers
2024-06,NE,Nebraska,TRA,transportation,0,number of customers
2024-06,NE,Nebraska,RES,residential,911289,number of customers
2024-06,NE,Nebraska,OTH,other,,number of customers
2024-06,WV,West Virginia,COM,commercial,151725,number of customers
2024-06,WV,West Virginia,ALL,all sectors,1027412,number of customers
2024-06,WA,Washington,TRA,transportation,5,number of customers
2024-06,WA,Washington,RES,residential,3340752,number of customers
2024-06,WA,Washington,OTH,other,,number of customers
2024-06,WA,Washington,IND,industrial,26781,number of customers
2024-06,WA,Washington,COM,commercial,407209,number of customers
2024-06,WA,Washington,ALL,all sectors,3774747,number of customers
2024-06,VA,Virginia,TRA,transportation,1,number of customers
2024-06,VA,Virginia,RES,residential,3679257,number of customers
2024-06,VA,Virginia,OTH,other,,number of customers
2024-06,VA,Virginia,IND,industrial,3964,number of customers
2024-06,VA,Virginia,COM,commercial,452546,number of customers
2024-06,VA,Virginia,ALL,all sectors,4135768,number of customers
2024-06,VT,Vermont,TRA,transportation,0,number of customers
2024-06,VT,Vermont,RES,residential,322371,number of customers
2024-06,VT,Vermont,OTH,other,,number of customers
2024-06,VT,Vermont,IND,industrial,233,number of customers
2024-06,VT,Vermont,COM,commercial,62968,number of customers
2024-06,VT,Vermont,ALL,all sectors,385572,number of customers
2024-06,UT,Utah,TRA,transportation,1,number of customers
2024-06,UT,Utah,RES,residential,1227588,number of customers
2024-06,UT,Utah,OTH,other,,number of customers
2024-06,UT,Utah,IND,industrial,11066,number of customers
2024-06,UT,Utah,COM,commercial,141286,number of customers
2024-06,UT,Utah,ALL,all sectors,1379941,number of customers
2024-06,TX,Texas,TRA,transportation,3,number of customers
2024-06,TX,Texas,RES,residential,12400936,number of customers
2024-06,TX,Texas,OTH,other,,number of customers
2024-06,TX,Texas,IND,industrial,377520,number of customers
2024-06,TX,Texas,COM,commercial,1608455,number of customers
2024-06,TX,Texas,ALL,all sectors,14386914,number of customers
2024-06,TN,Tennessee,TRA,transportation,0,number of customers
2024-06,TN,Tennessee,RES,residential,3096956,number of customers
2024-06,TN,Tennessee,OTH,other,,number of customers
2024-06,TN,Tennessee,IND,industrial,976,number of customers
2024-06,TN,Tennessee,COM,commercial,526149,number of customers
2024-06,TN,Tennessee,ALL,all sectors,3624081,number of customers
2024-06,SD,South Dakota,TRA,transportation,0,number of customers
2024-06,SD,South Dakota,RES,residential,435689,number of customers
2024-06,SD,South Dakota,OTH,other,,number of customers
2024-06,SD,South Dakota,IND,industrial,4359,number of customers
2024-06,SD,South Dakota,COM,commercial,78487,number of customers
2024-06,SD,South Dakota,ALL,all sectors,518535,number of customers
2024-06,SC,South Carolina,TRA,transportation,0,number of customers
2024-06,SC,South Carolina,RES,residential,2630845,number of customers
2024-06,SC,South Carolina,OTH,other,,number of customers
2024-06,SC,South Carolina,IND,industrial,3620,number of customers
2024-06,SC,South Carolina,COM,commercial,418429,number of customers
2024-06,SC,South Carolina,ALL,all sectors,3052894,number of customers
2024-06,RI,Rhode Island,TRA,transportation,1,number of customers
2024-06,RI,Rhode Island,RES,residential,449638,number of customers
2024-06,RI,Rhode Island,OTH,other,,number of customers
2024-06,RI,Rhode Island,IND,industrial,1616,number of customers
2024-06,RI,Rhode Island,COM,commercial,61248,number of customers
2024-06,RI,Rhode Island,ALL,all sectors,512503,number of customers
